run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
97,fork,25578346582872,62573,0,0,0,0,-1,-1,62.57
98,fork,25578346646827,70481,0,0,0,0,-1,-1,70.48
99,fork,25578346718616,65796,0,0,0,0,-1,-1,65.80
100,fork,25578346785890,63731,0,0,0,0,-1,-1,63.73
101,fork,25578346850939,64184,0,0,0,0,-1,-1,64.18
102,fork,25578346916397,64673,0,0,0,0,-1,-1,64.67
103,fork,25578346982303,65722,0,0,0,0,-1,-1,65.72
104,fork,25578347049265,63085,0,0,0,0,-1,-1,63.09
105,fork,25578347113818,77667,0,0,0,0,-1,-1,77.67
106,fork,25578347193053,63283,0,0,0,0,-1,-1,63.28
107,fork,25578347257598,66159,0,0,0,0,-1,-1,66.16
108,fork,25578347325250,59629,0,0,0,0,-1,-1,59.63
109,fork,25578347386266,64880,0,0,0,0,-1,-1,64.88
110,fork,25578347452436,78988,0,0,0,0,-1,-1,78.99
111,fork,25578347532716,72164,0,0,0,0,-1,-1,72.16
112,fork,25578347606238,59805,0,0,0,0,-1,-1,59.80
113,fork,25578347667564,65890,0,0,0,0,-1,-1,65.89
114,fork,25578347734838,60382,0,0,0,0,-1,-1,60.38
115,fork,25578347796494,61135,0,0,0,0,-1,-1,61.13
116,fork,25578347858908,66863,0,0,0,0,-1,-1,66.86
117,fork,25578347927181,64082,0,0,0,0,-1,-1,64.08
118,fork,25578347992765,75189,0,0,0,0,-1,-1,75.19
119,fork,25578348069261,64945,0,0,0,0,-1,-1,64.94
120,fork,25578348135546,93851,0,0,0,0,-1,-1,93.85
121,fork,25578348230969,60565,0,0,0,0,-1,-1,60.56
122,fork,25578348292903,66412,0,0,0,0,-1,-1,66.41
123,fork,25578348360584,60998,0,0,0,0,-1,-1,61.00
124,fork,25578348423042,68515,0,0,0,0,-1,-1,68.52
125,fork,25578348492843,69785,0,0,0,0,-1,-1,69.78
126,fork,25578348564224,61387,0,0,0,0,-1,-1,61.39
127,fork,25578348627001,66976,0,0,0,0,-1,-1,66.98
128,fork,25578348695222,65280,0,0,0,0,-1,-1,65.28
129,fork,25578348761791,61046,0,0,0,0,-1,-1,61.05
130,fork,25578348824123,60522,0,0,0,0,-1,-1,60.52
131,fork,25578348886019,63304,0,0,0,0,-1,-1,63.30
132,fork,25578348950851,65880,0,0,0,0,-1,-1,65.88
133,fork,25578349017959,75944,0,0,0,0,-1,-1,75.94
134,fork,25578349095187,66857,0,0,0,0,-1,-1,66.86
135,fork,25578349163563,64542,0,0,0,0,-1,-1,64.54
136,fork,25578349229371,64006,0,0,0,0,-1,-1,64.01
137,fork,25578349294701,65424,0,0,0,0,-1,-1,65.42
138,fork,25578349361559,60798,0,0,0,0,-1,-1,60.80
139,fork,25578349424096,61570,0,0,0,0,-1,-1,61.57
140,fork,25578349487421,66204,0,0,0,0,-1,-1,66.20
141,fork,25578349555322,66371,0,0,0,0,-1,-1,66.37
142,fork,25578349623411,62316,0,0,0,0,-1,-1,62.32
143,fork,25578349687564,66548,0,0,0,0,-1,-1,66.55
144,fork,25578349755927,63561,0,0,0,0,-1,-1,63.56
145,fork,25578349821398,62886,0,0,0,0,-1,-1,62.89
146,fork,25578349886011,64716,0,0,0,0,-1,-1,64.72
147,fork,25578349952651,70734,0,0,0,0,-1,-1,70.73
148,fork,25578350025067,68920,0,0,0,0,-1,-1,68.92
149,fork,25578350095817,68478,0,0,0,0,-1,-1,68.48
150,fork,25578350166085,122577,0,0,0,0,-1,-1,122.58
151,fork,25578350290954,60188,0,0,0,0,-1,-1,60.19
152,fork,25578350352835,66369,0,0,0,0,-1,-1,66.37
153,fork,25578350421120,66798,0,0,0,0,-1,-1,66.80
154,fork,25578350489817,62982,0,0,0,0,-1,-1,62.98
155,fork,25578350554589,67131,0,0,0,0,-1,-1,67.13
156,fork,25578350623734,61918,0,0,0,0,-1,-1,61.92
157,fork,25578350687442,62321,0,0,0,0,-1,-1,62.32
