run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,throughput_gflops
88,scalar_add,25574848925302,242779,0,0,0,0,-1,-1,4.319
89,scalar_add,25574849169196,235299,0,0,0,0,-1,-1,4.456
90,scalar_add,25574849405754,236816,0,0,0,0,-1,-1,4.428
91,scalar_add,25574849643560,236083,0,0,0,0,-1,-1,4.442
92,scalar_add,25574849880883,242053,0,0,0,0,-1,-1,4.332
93,scalar_add,25574850124014,235575,0,0,0,0,-1,-1,4.451
94,scalar_add,25574850360605,234924,0,0,0,0,-1,-1,4.463
95,scalar_add,25574850596485,234556,0,0,0,0,-1,-1,4.470
96,scalar_add,25574850831909,242141,0,0,0,0,-1,-1,4.330
97,scalar_add,25574851075061,235906,0,0,0,0,-1,-1,4.445
98,scalar_add,25574851312097,236328,0,0,0,0,-1,-1,4.437
99,scalar_add,25574851549600,236364,0,0,0,0,-1,-1,4.436
100,auto_vectorized_add,25574851787664,240693,0,0,0,0,-1,-1,4.356
101,auto_vectorized_add,25574852029548,235736,0,0,0,0,-1,-1,4.448
102,auto_vectorized_add,25574852266157,236563,0,0,0,0,-1,-1,4.433
103,auto_vectorized_add,25574852503866,237501,0,0,0,0,-1,-1,4.415
104,auto_vectorized_add,25574852742235,236385,0,0,0,0,-1,-1,4.436
105,auto_vectorized_add,25574852979736,247899,0,0,0,0,-1,-1,4.230
106,auto_vectorized_add,25574853228804,250722,0,0,0,0,-1,-1,4.182
107,auto_vectorized_add,25574853480638,251045,0,0,0,0,-1,-1,4.177
108,auto_vectorized_add,25574853732770,244298,0,0,0,0,-1,-1,4.292
109,auto_vectorized_add,25574853978002,248756,0,0,0,0,-1,-1,4.215
110,auto_vectorized_add,25574854227764,238461,0,0,0,0,-1,-1,4.397
111,auto_vectorized_add,25574854467283,239135,0,0,0,0,-1,-1,4.385
112,auto_vectorized_add,25574854707547,241803,0,0,0,0,-1,-1,4.336
113,auto_vectorized_add,25574854950466,272527,0,0,0,0,-1,-1,3.848
114,auto_vectorized_add,25574855224365,251249,0,0,0,0,-1,-1,4.173
115,auto_vectorized_add,25574855476619,250450,0,0,0,0,-1,-1,4.187
116,auto_vectorized_add,25574855728326,254333,0,0,0,0,-1,-1,4.123
117,auto_vectorized_add,25574855983849,258461,0,0,0,0,-1,-1,4.057
118,auto_vectorized_add,25574856243404,250247,0,0,0,0,-1,-1,4.190
119,auto_vectorized_add,25574856494762,249504,0,0,0,0,-1,-1,4.203
120,auto_vectorized_add,25574856745553,249682,0,0,0,0,-1,-1,4.200
121,auto_vectorized_add,25574856996554,260233,0,0,0,0,-1,-1,4.029
122,auto_vectorized_add,25574857258124,257633,0,0,0,0,-1,-1,4.070
123,auto_vectorized_add,25574857516897,253182,0,0,0,0,-1,-1,4.142
124,auto_vectorized_add,25574857771442,262098,0,0,0,0,-1,-1,4.001
125,auto_vectorized_add,25574858034782,237509,0,0,0,0,-1,-1,4.415
126,auto_vectorized_add,25574858273454,238903,0,0,0,0,-1,-1,4.389
127,auto_vectorized_add,25574858513215,245586,0,0,0,0,-1,-1,4.270
128,auto_vectorized_add,25574858759854,255071,0,0,0,0,-1,-1,4.111
129,auto_vectorized_add,25574859016101,252748,0,0,0,0,-1,-1,4.149
130,auto_vectorized_add,25574859270149,252441,0,0,0,0,-1,-1,4.154
131,auto_vectorized_add,25574859523659,251934,0,0,0,0,-1,-1,4.162
132,auto_vectorized_add,25574859776726,259772,0,0,0,0,-1,-1,4.037
133,auto_vectorized_add,25574860037934,253292,0,0,0,0,-1,-1,4.140
134,auto_vectorized_add,25574860292328,254114,0,0,0,0,-1,-1,4.126
135,auto_vectorized_add,25574860547489,261613,0,0,0,0,-1,-1,4.008
136,auto_vectorized_add,25574860810764,307840,0,0,0,0,-1,-1,3.406
137,auto_vectorized_add,25574861148588,286232,0,0,0,0,-1,-1,3.663
138,auto_vectorized_add,25574861436062,263157,0,0,0,0,-1,-1,3.985
139,auto_vectorized_add,25574861700092,251706,0,0,0,0,-1,-1,4.166
140,auto_vectorized_add,25574861952727,255663,0,0,0,0,-1,-1,4.101
141,auto_vectorized_add,25574862209450,244380,0,0,0,0,-1,-1,4.291
142,auto_vectorized_add,25574862454769,239071,0,0,0,0,-1,-1,4.386
143,auto_vectorized_add,25574862694755,237562,0,0,0,0,-1,-1,4.414
144,auto_vectorized_add,25574862933406,260613,0,0,0,0,-1,-1,4.023
145,auto_vectorized_add,25574863195446,253130,0,0,0,0,-1,-1,4.142
146,auto_vectorized_add,25574863449552,246299,0,0,0,0,-1,-1,4.257
147,auto_vectorized_add,25574863697092,241873,0,0,0,0,-1,-1,4.335
148,auto_vectorized_add,25574863939967,246797,0,0,0,0,-1,-1,4.249
149,auto_vectorized_add,25574864187816,275382,0,0,0,0,-1,-1,3.808
150,auto_vectorized_add,25574864464384,252046,0,0,0,0,-1,-1,4.160
151,auto_vectorized_add,25574864717434,251627,0,0,0,0,-1,-1,4.167
152,auto_vectorized_add,25574864970221,264700,0,0,0,0,-1,-1,3.961
153,auto_vectorized_add,25574865236106,252889,0,0,0,0,-1,-1,4.146
154,auto_vectorized_add,25574865490115,251440,0,0,0,0,-1,-1,4.170
155,auto_vectorized_add,25574865742592,250605,0,0,0,0,-1,-1,4.184
156,auto_vectorized_add,25574865994550,259162,0,0,0,0,-1,-1,4.046
157,auto_vectorized_add,25574866255037,251235,0,0,0,0,-1,-1,4.174
158,auto_vectorized_add,25574866507516,250759,0,0,0,0,-1,-1,4.182
159,auto_vectorized_add,25574866759328,256937,0,0,0,0,-1,-1,4.081
160,auto_vectorized_add,25574867017507,252947,0,0,0,0,-1,-1,4.145
161,auto_vectorized_add,25574867271477,249941,0,0,0,0,-1,-1,4.195
162,auto_vectorized_add,25574867522422,251591,0,0,0,0,-1,-1,4.168
163,auto_vectorized_add,25574867775117,255127,0,0,0,0,-1,-1,4.110
164,auto_vectorized_add,25574868031155,251326,0,0,0,0,-1,-1,4.172
165,auto_vectorized_add,25574868283638,249555,0,0,0,0,-1,-1,4.202
166,auto_vectorized_add,25574868534330,250053,0,0,0,0,-1,-1,4.193
167,auto_vectorized_add,25574868785394,257847,0,0,0,0,-1,-1,4.067
168,auto_vectorized_add,25574869044601,250223,0,0,0,0,-1,-1,4.191
169,auto_vectorized_add,25574869296132,249131,0,0,0,0,-1,-1,4.209
170,auto_vectorized_add,25574869546554,249559,0,0,0,0,-1,-1,4.202
171,auto_vectorized_add,25574869797191,256297,0,0,0,0,-1,-1,4.091
172,auto_vectorized_add,25574870054662,250904,0,0,0,0,-1,-1,4.179
173,auto_vectorized_add,25574870306779,249862,0,0,0,0,-1,-1,4.197
174,auto_vectorized_add,25574870557807,250086,0,0,0,0,-1,-1,4.193
175,auto_vectorized_add,25574870809047,256517,0,0,0,0,-1,-1,4.088
176,auto_vectorized_add,25574871066801,251097,0,0,0,0,-1,-1,4.176
177,auto_vectorized_add,25574871319117,250618,0,0,0,0,-1,-1,4.184
178,auto_vectorized_add,25574871571206,250765,0,0,0,0,-1,-1,4.182
179,auto_vectorized_add,25574871823123,255823,0,0,0,0,-1,-1,4.099
180,auto_vectorized_add,25574872080132,249094,0,0,0,0,-1,-1,4.210
181,auto_vectorized_add,25574872330418,248130,0,0,0,0,-1,-1,4.226
182,auto_vectorized_add,25574872579589,249323,0,0,0,0,-1,-1,4.206
183,auto_vectorized_add,25574872830185,256113,0,0,0,0,-1,-1,4.094
184,auto_vectorized_add,25574873087486,249251,0,0,0,0,-1,-1,4.207
185,auto_vectorized_add,25574873337642,249693,0,0,0,0,-1,-1,4.199
186,auto_vectorized_add,25574873588534,250152,0,0,0,0,-1,-1,4.192
187,auto_vectorized_add,25574873840211,256080,0,0,0,0,-1,-1,4.095
188,auto_vectorized_add,25574874097548,250559,0,0,0,0,-1,-1,4.185
189,auto_vectorized_add,25574874349248,249057,0,0,0,0,-1,-1,4.210
190,auto_vectorized_add,25574874599405,247582,0,0,0,0,-1,-1,4.235
191,auto_vectorized_add,25574874848079,257203,0,0,0,0,-1,-1,4.077
192,auto_vectorized_add,25574875106473,250969,0,0,0,0,-1,-1,4.178
193,auto_vectorized_add,25574875358546,248852,0,0,0,0,-1,-1,4.214
194,auto_vectorized_add,25574875608418,248539,0,0,0,0,-1,-1,4.219
195,auto_vectorized_add,25574875858020,256273,0,0,0,0,-1,-1,4.092
196,auto_vectorized_add,25574876115398,249960,0,0,0,0,-1,-1,4.195
197,auto_vectorized_add,25574876366477,251626,0,0,0,0,-1,-1,4.167
198,auto_vectorized_add,25574876619251,251393,0,0,0,0,-1,-1,4.171
199,auto_vectorized_add,25574876891774,281580,0,0,0,0,-1,-1,3.724
200,sse_add,25574877175217,331092,0,0,0,0,-1,-1,3.167
201,sse_add,25574877507868,315352,0,0,0,0,-1,-1,3.325
202,sse_add,25574877824148,313266,0,0,0,0,-1,-1,3.347
203,sse_add,25574878138679,303201,0,0,0,0,-1,-1,3.458
204,sse_add,25574878443049,304572,0,0,0,0,-1,-1,3.443
205,sse_add,25574878748698,362028,0,0,0,0,-1,-1,2.896
206,sse_add,25574879111950,339877,0,0,0,0,-1,-1,3.085
207,sse_add,25574879453019,321127,0,0,0,0,-1,-1,3.265
208,sse_add,25574879775166,319794,0,0,0,0,-1,-1,3.279
209,sse_add,25574880096189,311478,0,0,0,0,-1,-1,3.366
210,sse_add,25574880408957,305247,0,0,0,0,-1,-1,3.435
211,sse_add,25574880715372,312483,0,0,0,0,-1,-1,3.356
212,sse_add,25574881029186,307736,0,0,0,0,-1,-1,3.407
213,sse_add,25574881338345,304848,0,0,0,0,-1,-1,3.440
214,sse_add,25574881644402,304584,0,0,0,0,-1,-1,3.443
215,sse_add,25574881950050,312855,0,0,0,0,-1,-1,3.352
216,sse_add,25574882264052,302848,0,0,0,0,-1,-1,3.462
217,sse_add,25574882568311,300822,0,0,0,0,-1,-1,3.486
218,sse_add,25574882870182,311810,0,0,0,0,-1,-1,3.363
219,sse_add,25574883183202,301311,0,0,0,0,-1,-1,3.480
220,sse_add,25574883485596,299060,0,0,0,0,-1,-1,3.506
221,sse_add,25574883785844,304841,0,0,0,0,-1,-1,3.440
222,sse_add,25574884091960,301233,0,0,0,0,-1,-1,3.481
223,sse_add,25574884394358,301627,0,0,0,0,-1,-1,3.476
224,sse_add,25574884697028,302919,0,0,0,0,-1,-1,3.462
225,sse_add,25574885007434,304621,0,0,0,0,-1,-1,3.442
226,sse_add,25574885313291,300402,0,0,0,0,-1,-1,3.491
227,sse_add,25574885614938,301664,0,0,0,0,-1,-1,3.476
228,sse_add,25574885917804,309540,0,0,0,0,-1,-1,3.388
229,sse_add,25574886228530,304153,0,0,0,0,-1,-1,3.448
230,sse_add,25574886533765,302717,0,0,0,0,-1,-1,3.464
231,sse_add,25574886837707,316083,0,0,0,0,-1,-1,3.317
232,sse_add,25574887155045,299464,0,0,0,0,-1,-1,3.502
233,sse_add,25574887455593,299819,0,0,0,0,-1,-1,3.497
234,sse_add,25574887756642,315422,0,0,0,0,-1,-1,3.324
235,sse_add,25574888073354,318128,0,0,0,0,-1,-1,3.296
236,sse_add,25574888392607,313699,0,0,0,0,-1,-1,3.343
237,sse_add,25574888707511,314795,0,0,0,0,-1,-1,3.331
238,sse_add,25574889023529,307655,0,0,0,0,-1,-1,3.408
239,sse_add,25574889332378,307243,0,0,0,0,-1,-1,3.413
240,sse_add,25574889640665,305021,0,0,0,0,-1,-1,3.438
241,sse_add,25574889946833,324245,0,0,0,0,-1,-1,3.234
242,sse_add,25574890272306,306556,0,0,0,0,-1,-1,3.421
243,sse_add,25574890579878,307349,0,0,0,0,-1,-1,3.412
244,sse_add,25574890888336,313848,0,0,0,0,-1,-1,3.341
245,sse_add,25574891203633,305426,0,0,0,0,-1,-1,3.433
246,sse_add,25574891510285,302629,0,0,0,0,-1,-1,3.465
247,sse_add,25574891813995,309670,0,0,0,0,-1,-1,3.386
248,sse_add,25574892124826,302697,0,0,0,0,-1,-1,3.464
249,sse_add,25574892428848,305541,0,0,0,0,-1,-1,3.432
250,sse_add,25574892735271,316894,0,0,0,0,-1,-1,3.309
251,sse_add,25574893053225,299309,0,0,0,0,-1,-1,3.503
252,sse_add,25574893353402,297388,0,0,0,0,-1,-1,3.526
253,sse_add,25574893651781,292551,0,0,0,0,-1,-1,3.584
254,sse_add,25574893945644,300128,0,0,0,0,-1,-1,3.494
255,sse_add,25574894246719,281460,0,0,0,0,-1,-1,3.725
256,sse_add,25574894529411,297675,0,0,0,0,-1,-1,3.523
257,sse_add,25574894828592,327824,0,0,0,0,-1,-1,3.199
258,sse_add,25574895157814,306245,0,0,0,0,-1,-1,3.424
259,sse_add,25574895465044,298924,0,0,0,0,-1,-1,3.508
260,sse_add,25574895765039,286161,0,0,0,0,-1,-1,3.664
261,sse_add,25574896056755,285416,0,0,0,0,-1,-1,3.674
262,sse_add,25574896343241,286463,0,0,0,0,-1,-1,3.660
263,sse_add,25574896630668,285313,0,0,0,0,-1,-1,3.675
264,sse_add,25574896916902,290887,0,0,0,0,-1,-1,3.605
265,sse_add,25574897208809,285033,0,0,0,0,-1,-1,3.679
266,sse_add,25574897494995,287604,0,0,0,0,-1,-1,3.646
267,sse_add,25574897783770,291251,0,0,0,0,-1,-1,3.600
268,sse_add,25574898076059,288347,0,0,0,0,-1,-1,3.637
269,sse_add,25574898365453,282262,0,0,0,0,-1,-1,3.715
270,sse_add,25574898648610,289704,0,0,0,0,-1,-1,3.619
271,sse_add,25574898939407,306747,0,0,0,0,-1,-1,3.418
272,sse_add,25574899247426,326754,0,0,0,0,-1,-1,3.209
273,sse_add,25574899575670,352852,0,0,0,0,-1,-1,2.972
274,sse_add,25574899929811,353267,0,0,0,0,-1,-1,2.968
275,sse_add,25574900305280,363254,0,0,0,0,-1,-1,2.887
276,sse_add,25574900669567,352465,0,0,0,0,-1,-1,2.975
277,sse_add,25574901023137,328082,0,0,0,0,-1,-1,3.196
